price,landsize,address,park,bed,bath,longitude,latitude,date,property_type
"$378,000
        price from APM PriceFinder",Internal area 79,"904/14 Kavanagh Street, Southbank VIC 3006",1,2,2,144.96637,-37.8227158,Sold by private treaty 03 November 2016,Apartment / Unit / Flat
"$600,000",Land area 84 m2,"2310/118 Kavanagh Street, Southbank VIC 3006",1,2,2,144.961975,-37.8254128,Sold by private treaty 24 October 2016,Apartment / Unit / Flat
"$499,000
        price from APM PriceFinder",Internal area 80,"31/28 Southgate Avenue, Southbank VIC 3006",1,2,1,144.967636,-37.8206978,Sold by private treaty 20 October 2016,Apartment / Unit / Flat
"$480,000","Land area 81 m2
Internal area 81","1003/283 City Road, Southbank VIC 3006",1,2,1,144.959045,-37.8271446,Sold by private treaty 26 September 2016,Apartment / Unit / Flat
"$560,000",Internal area 89,"1606/80 Clarendon Street, Southbank VIC 3006",1,2,1,144.95723,-37.8271446,Sold by private treaty 12 September 2016,Apartment / Unit / Flat
"$591,100",Internal area 101,"808/80 Clarendon Street, Southbank VIC 3006",1,2,2,144.95723,-37.8271446,Sold by private treaty 30 August 2016,Apartment / Unit / Flat
"$600,000",Internal area 91,"900/180 City Road, Southbank VIC 3006",1,2,2,144.962021,-37.8240471,Sold by private treaty 09 July 2016,Apartment / Unit / Flat
"$560,000
        price from APM PriceFinder",Internal area 73,"3009/180 City Road, Southbank VIC 3006",1,2,1,144.962021,-37.8240471,Sold by private treaty 28 June 2016,Apartment / Unit / Flat
"$500,000",Internal area 70 m2,"1310A/8 Dorcas Street, Southbank VIC 3006",1,2,2,144.970215,-37.8297729,Sold by private treaty 30 May 2016,Apartment / Unit / Flat
"$552,000","Land area 4 m2
Internal area 69","1810/241 City Road, Southbank VIC 3006",1,2,2,144.959946,-37.8263969,Sold by private treaty 30 May 2016,Apartment / Unit / Flat
"$830,000",Internal area 146,"3/1 Riverside Quay, Southbank VIC 3006",1,2,2,144.962936,-37.8210068,Sold by private treaty 30 April 2016,Apartment / Unit / Flat
"$480,000","Land area 73 m2
Internal area 70 m2","1106/109 Clarendon Street, Southbank VIC 3006",1,2,1,144.95845,-37.8278046,Sold by private treaty 26 April 2016,Apartment / Unit / Flat
"$550,000","Land area 81 m2
Internal area 70 m2","2303/46-50 Haig Street, Southbank VIC 3006",1,2,1,144.957077,-37.82688,Sold by private treaty 24 April 2016,Apartment / Unit / Flat
"$550,000",Internal area 90,"275/100 Kavanagh Street, Southbank VIC 3006",1,2,1,144.96254,-37.8251266,Sold by private treaty 19 April 2016,Apartment / Unit / Flat
"$525,000",Internal area 90,"159/100 Kavanagh Street, Southbank VIC 3006",1,2,1,144.96254,-37.8251266,Sold by private treaty 19 April 2016,Apartment / Unit / Flat
"$500,000
        price from APM PriceFinder",Internal area 72,"81/88 Kavanagh Street, Southbank VIC 3006",1,2,1,144.963272,-37.82469,Sold by private treaty 11 April 2016,Apartment / Unit / Flat
"$486,000
        price from APM PriceFinder",Internal area 72,"206/88 Southbank Boulevard, Southbank VIC 3006",1,2,1,144.964661,-37.8234634,Sold by private treaty 06 April 2016,Apartment / Unit / Flat
"$967,500",Internal area 135,"1808/7 Riverside Quay, Southbank VIC 3006",1,2,2,144.964478,-37.82141,Sold by private treaty 01 April 2016,Apartment / Unit / Flat
"$555,000
        price from APM PriceFinder",Internal area 70,"2406/118 Kavanagh Street, Southbank VIC 3006",1,2,2,144.96225,-37.82548,Sold by private treaty 31 March 2016,Apartment / Unit / Flat
"$835,000
        price from APM PriceFinder",Internal area 112,"901/8 Kavanagh Street, Southbank VIC 3006",1,2,2,144.96669,-37.8225632,Sold by private treaty 06 February 2016,Apartment / Unit / Flat
"$483,000",Internal area 84 m2,"1006/12-16 Kavanagh St, Southbank VIC 3006",1,2,2,144.966461,-37.82289,Sold by private treaty 04 February 2016,Apartment / Unit / Flat
"$565,000",Internal area 83,"149/38 Kavanagh Street, Southbank VIC 3006",1,2,2,144.964157,-37.82382,Sold by private treaty 05 January 2016,Apartment / Unit / Flat
"$620,000
        price from APM PriceFinder",Land area 82 m2,"2405/283 City Road, Southbank VIC 3006",1,2,2,144.959045,-37.82737,Sold by private treaty 18 November 2015,Apartment / Unit / Flat
"$590,000","Land area 10 m2
Internal area 95","1113/83 Queensbridge Street, Southbank VIC 3006",1,2,2,144.961365,-37.82384,Sold by private treaty 07 October 2015,Apartment / Unit / Flat
"$540,000",Internal area 72,"4003/241 City Road, Southbank VIC 3006",1,2,1,144.959946,-37.8263969,Sold by private treaty 02 October 2015,Apartment / Unit / Flat
"$493,500
        price from APM PriceFinder",Land area 70 m2,"1009/283 City Road, SOUTHBANK VIC 3006",1,2,1,144.959045,-37.82737,Sold by private treaty 24 September 2015,Apartment / Unit / Flat
"$550,000",Internal area 90,"205/100 Kavanagh Street, Southbank VIC 3006",1,2,2,144.96254,-37.8251266,Sold by private treaty 23 September 2015,Apartment / Unit / Flat
