travel2csb,age,dependency_family,dependency_single,occupation1,occupation2,occupation3,fullyowned,purchasing,renting,numberofschool,_1bed_unit_median_price,_1bed_unit_days,_1bed_unit_clearance,_1bed_unit_sold,_2bed_unit_median_price,_2bed_unit_days,_2bed_unit_clearance,_2bed_unit_sold,_3bed_unit_median_price,_3bed_unit_days,_3bed_unit_clearance,_3bed_unit_sold,_2bed_house_median_price,_2bed_house_days,_2bed_house_clearance,_2bed_house_sold,_3bed_house_median_price,_3bed_house_days,_3bed_house_clearance,_3bed_house_sold,_4bed_house_median_price,_4bed_house_days,_4bed_house_clearance,_4bed_house_sold,name,post
1 hour 27 mins,20 - 39,26.0,74.0,Professional/Technical,Hospitality,Financial/Insurance,16.0,19.0,66.0,3,355000.0,113,45%,453,555000.0,109,43%,585,1100000.0,78,60%,124,,,,4,,,,2,,,,1,Melbourne,3000
15 mins,20 - 39,35.0,65.0,Professional/Technical,Health Care/Social,Financial/Insurance,23.0,20.0,57.0,0,451000.0,38,80%,38,783000.0,41,79%,43,,,,6,,,,7,3138000.0,,,10,,,,5,East Melbourne,3002
42 mins,20 - 39,25.0,75.0,Professional/Technical,Hospitality,Health Care/Social,16.0,23.0,61.0,1,400000.0,53,60%,24,540000.0,99,70%,47,916000.0,,,10,1033000.0,,70%,12,1306000.0,,,10,,,,,West Melbourne,3003
,20 - 39,26.0,74.0,Professional/Technical,Hospitality,Financial/Insurance,16.0,19.0,66.0,0,355000.0,113,45%,453,555000.0,109,43%,585,1100000.0,78,60%,124,,,,4,,,,2,,,,1,Melbourne 3004,3004
16 mins,20 - 39,30.0,70.0,Professional/Technical,Financial/Insurance,Hospitality,16.0,23.0,61.0,0,390000.0,142,42%,151,572000.0,137,37%,315,825000.0,212,69%,77,525000.0,,,10,,,,3,,,,,Southbank,3006
28 mins,20 - 39,59.0,41.0,Financial/Insurance,Retail trade,Wholesale trade,0.0,16.0,84.0,0,,,,,,,,,,,,,,,,,,,,,,,,,South Wharf,3006
30 mins,20 - 39,38.0,62.0,Professional/Technical,Financial/Insurance,Health Care/Social,14.0,23.0,64.0,0,416000.0,181,,102,619000.0,136,53%,212,1179000.0,161,,49,,,,4,,,,1,,,,1,Docklands,3008
28 mins,20 - 39,36.0,64.0,Hospitality,Health Care/Social,Retail trade,19.0,23.0,58.0,3,303000.0,161,52%,42,410000.0,125,58%,91,639000.0,,,13,730000.0,98,83%,62,861000.0,74,79%,78,1163000.0,,76%,18,Footscray,3011
25 mins,20 - 39,40.0,60.0,Professional/Technical,Health Care/Social,Education & training,24.0,37.0,39.0,0,,,,5,417000.0,,,13,,,,6,934000.0,83,80%,39,938000.0,55,74%,41,,,,9,Seddon,3011
37 mins,20 - 39,40.0,60.0,Professional/Technical,Education & training,Health Care/Social,21.0,38.0,41.0,1,,,,9,370000.0,70,81%,21,,,,,825000.0,,90%,13,926000.0,59,70%,30,,,,9,Kingsville,3012
