price,landsize,address,park,bed,bath,longitude,latitude,date,property_type
"$450,000
        price from APM PriceFinder",Land area squareMeter m2,"3 Longstaff Way, Sunbury VIC 3429",2,4,2,144.699356,-37.56717,Sold by private treaty 21 November 2009,House
"$585,000
        price from APM PriceFinder",Land area 15 acres,"555 Settlement Road, SUNBURY VIC 3429",2,4,2,144.7433,-37.50427,Sold by private treaty 22 October 2009,Rural
"$482,000
        price from APM PriceFinder","Land area 1200 m2
Internal area 440.91","30 The Skyline, SUNBURY VIC 3429",2,4,2,144.744156,-37.56879,Sold by private treaty 28 August 2009,House
"$440,000
        price from APM PriceFinder",Land area 1298 m2,"3 Fenchurch Street, SUNBURY VIC 3429",2,4,2,144.746567,-37.57361,Sold by private treaty 22 July 2009,House
"$540,000
        price from APM PriceFinder",Land area 1000 m2,"8 Palomino Drive, SUNBURY VIC 3429",2,4,2,144.7374,-37.5895081,Sold by private treaty 25 June 2009,House
"$411,000
        price from APM PriceFinder",Land area 673 m2,"4 Sunview Court, SUNBURY VIC 3429",2,4,2,144.702774,-37.570755,Sold by private treaty 14 January 2009,House
Price Withheld,"Land area 400 m2
Internal area 229","14 Chard Place, Sunbury VIC 3429",2,4,2,144.696915,-37.5629921,Sold by private treaty 20 September 2017,House
Price Withheld,Land area 1000 m2,"4 Frontignac Court, Sunbury VIC 3429",2,4,2,144.7501,-37.56531,Sold by private treaty 08 September 2017,House
Price Withheld,Land area 1200 m2,"7 Malbec Court, Sunbury VIC 3429",2,4,2,144.747391,-37.5690651,Sold by private treaty 12 June 2017,House
Price Withheld,Land area 1064 m2,"1 Emma Court, Sunbury VIC 3429",2,4,2,144.6956,-37.56885,Sold by private treaty 12 May 2017,House
Price Withheld,Land area 511 m2,"9 Rosenthal Boulevard, Sunbury VIC 3429",2,4,2,144.708588,-37.59774,Sold by private treaty 25 January 2017,House
Price Withheld,Land area 561 m2,Sunbury VIC 3429,2,4,2,144.7289,-37.57949,Sold by private treaty 21 June 2016,House
Price Withheld,"Land area 874 m2
Internal area 204","6 Oswin Court, Sunbury VIC 3429",2,4,2,144.6964,-37.5672874,Sold by private treaty 03 March 2016,House
Price Withheld,Land area 741 m2,"36 Mitchells Lane, Sunbury VIC 3429",2,4,2,144.717636,-37.5852661,Sold by private treaty 02 March 2016,House
Price Withheld,Land area 900 m2,"7 Muscat Crt, Sunbury VIC 3429",2,4,2,144.749344,-37.5747337,Sold by private treaty 20 August 2015,House
Price Withheld,Land area 1055 m2,"5 Emma Court, SUNBURY VIC 3429",2,4,2,144.695313,-37.5684929,Sold by private treaty 06 May 2015,House
Price Withheld,Land area 674 m2,"7 McMahon Court, SUNBURY VIC 3429",2,4,2,144.730011,-37.5605431,Sold by private treaty 13 February 2014,House
Price Withheld,"Land area 590 m2
Internal area 156","57c Charter Road East, SUNBURY VIC 3429",2,4,2,144.701813,-37.580574,Sold by private treaty 20 June 2013,House
Price Withheld,"Land area 880 m2
Internal area 278","32 Swift Street, SUNBURY VIC 3429",2,4,2,144.721069,-37.5976067,Sold by private treaty 17 March 2013,House
Price Withheld,Land area 569 m2,"47 Backhaus Avenue, SUNBURY VIC 3429",2,4,2,144.7087,-37.59248,Sold by private treaty 30 April 2012,House
