Suburb,Post,Region
Carlton ,3053,Inner
Carlton North ,3054,Inner
Docklands ,3008,Inner
East Melbourne ,3002,Inner
Flemington ,3031,Inner
Kensington ,3031,Inner
Melbourne ,3000,Inner
Melbourne ,3004,Inner
North Melbourne ,3051,Inner
Parkville ,3052,Inner
Port Melbourne ,3207,Inner
Southbank ,3006,Inner
South Wharf ,3006,Inner
South Yarra ,3141,Inner
West Melbourne ,3003,Inner
Albert Park ,3206,Inner
Balaclava ,3183,Inner
Elwood ,3184,Inner
Melbourne ,3004,Inner
Middle Park ,3206,Inner
Port Melbourne ,3207,Inner
Ripponlea ,3185,Inner
St Kilda ,3182,Inner
St Kilda East ,3183,Inner
St Kilda West ,3182,Inner
Southbank ,3006,Inner
South Melbourne ,3205,Inner
South Wharf ,3006,Inner
Abbotsford ,3067,Inner
Alphington ,3078,Inner
Burnley ,3121,Inner
Carlton North ,3054,Inner
Clifton Hill ,3068,Inner
Collingwood ,3066,Inner
Cremorne ,3121,Inner
Fairfield ,3078,Inner
Fitzroy ,3065,Inner
Fitzroy North ,3068,Inner
Princes Hill ,3054,Inner
Richmond ,3121,Inner
Bellfield ,3081,Northern
Briar Hill ,3088,Northern
Bundoora ,3083,Northern
Eaglemont ,3084,Northern
Eltham ,3095,Northern
Eltham North ,3095,Northern
Greensborough ,3088,Northern
Heidelberg ,3084,Northern
Heidelberg Heights ,3081,Northern
Heidelberg West ,3081,Northern
Ivanhoe ,3079,Northern
Ivanhoe East ,3079,Northern
Lower Plenty ,3093,Northern
Macleod ,3085,Northern
Montmorency ,3094,Northern
Rosanna ,3084,Northern
St Helena ,3088,Northern
Viewbank ,3084,Northern
Watsonia ,3087,Northern
Watsonia North ,3087,Northern
Yallambie ,3085,Northern
Alphington ,3078,Northern
Bundoora ,3083,Northern
Fairfield ,3078,Northern
Kingsbury ,3083,Northern
Macleod ,3085,Northern
Northcote ,3070,Northern
Preston ,3072,Northern
Reservoir ,3073,Northern
Thornbury ,3071,Northern
Attwood ,3049,Northern
Broadmeadows ,3047,Northern
Campbellfield ,3061,Northern
Coolaroo ,3048,Northern
Craigieburn ,3064,Northern
Dallas ,3047,Northern
Gladstone Park ,3043,Northern
Greenvale ,3059,Northern
Jacana ,3047,Northern
Keilor ,3036,Northern
Meadow Heights ,3048,Northern
Melbourne Airport ,3045,Northern
Roxburgh Park ,3064,Northern
Somerton ,3062,Northern
Tullamarine ,3043,Northern
Westmeadows ,3049,Northern
Sunbury ,3429,Northern
Bulla ,3428,Northern
Clarkefield ,3430,Northern
Diggers Rest ,3427,Northern
Kalkallo ,3064,Northern
Mickleham ,3064,Northern
Oaklands Junction ,3063,Northern
Wildwood ,3429,Northern
Yuroke ,3063,Northern
Aberfeldie ,3040,Northern
Airport West ,3042,Northern
Ascot Vale ,3032,Northern
Avondale Heights ,3034,Northern
Essendon ,3040,Northern
Essendon Fields ,3041,Northern
Essendon North ,3041,Northern
Essendon West ,3040,Northern
Flemington ,3031,Northern
Keilor East ,3033,Northern
Moonee Ponds ,3039,Northern
Niddrie ,3042,Northern
Strathmore ,3041,Northern
Strathmore Heights ,3041,Northern
Travancore ,3032,Northern
Brunswick ,3056,Northern
Brunswick East ,3057,Northern
Brunswick West ,3055,Northern
Coburg ,3058,Northern
Coburg North ,3058,Northern
Fawkner ,3060,Northern
Glenroy ,3046,Northern
Gowanbrae ,3043,Northern
Hadfield ,3046,Northern
Oak Park ,3046,Northern
Pascoe Vale ,3044,Northern
Pascoe Vale South ,3044,Northern
Tullamarine ,3043,Northern
Diamond Creek ,3089,Northern
Eltham ,3095,Northern
Eltham North ,3095,Northern
Greensborough ,3088,Northern
Hurstbridge ,3099,Northern
North Warrandyte ,3113,Northern
Research ,3095,Northern
Wattle Glen ,3096,Northern
Bend of Islands ,3097,Northern
Christmas Hills ,3775,Northern
Cottles Bridge ,3099,Northern
Doreen ,3754,Northern
Kangaroo Ground ,3097,Northern
Kinglake ,3763,Northern
Bylands ,3762,Northern
Kinglake West ,3778,Northern
Nutfield ,3099,Northern
Panton Hill ,3759,Northern
Plenty ,3090,Northern
St Andrews ,3761,Northern
Smiths Gully ,3760,Northern
Strathewen ,3099,Northern
Watsons Creek ,3097,Northern
Yan Yean ,3755,Northern
Yarrambat ,3091,Northern
Bundoora ,3083,Northern
Doreen ,3754,Northern
Epping ,3076,Northern
Lalor ,3075,Northern
Mernda ,3754,Northern
Mill Park ,3082,Northern
South Morang ,3752,Northern
Thomastown ,3074,Northern
Beveridge ,3753,Northern
Donnybrook ,3064,Northern
Eden Park ,3757,Northern
Humevale ,3757,Northern
Kinglake West ,3778,Northern
Whittlesea ,3757,Northern
Wollert ,3750,Northern
Woodstock ,3755,Northern
Yan Yean ,3755,Northern
Ashburton ,3147,Eastern
Balwyn ,3103,Eastern
Balwyn North ,3104,Eastern
Camberwell ,3124,Eastern
Canterbury ,3126,Eastern
Deepdene ,3103,Eastern
Glen Iris ,3146,Eastern
Hawthorn ,3122,Eastern
Hawthorn East ,3123,Eastern
Kew ,3101,Eastern
Kew East ,3102,Eastern
Mont Albert ,3127,Eastern
Mont Albert North ,3127,Eastern
Surrey Hills ,3127,Eastern
Bayswater ,3153,Eastern
Boronia ,3155,Eastern
Ferntree Gully ,3156,Eastern
Knoxfield ,3180,Eastern
Lysterfield ,3156,Eastern
Rowville ,3178,Eastern
Scoresby ,3179,Eastern
The Basin ,3154,Eastern
Upper Ferntree Gully ,3156,Eastern
Wantirna ,3152,Eastern
Wantirna South ,3152,Eastern
Bulleen ,3105,Eastern
Doncaster ,3108,Eastern
Doncaster East ,3109,Eastern
Donvale ,3111,Eastern
Park Orchards ,3114,Eastern
Templestowe ,3106,Eastern
Templestowe Lower ,3107,Eastern
Warrandyte ,3113,Eastern
Warrandyte South ,3134,Eastern
Wonga Park ,3115,Eastern
Nunawading ,3131,Eastern
Ringwood North ,3134,Eastern
Bayswater North ,3153,Eastern
Croydon ,3136,Eastern
Croydon Hills ,3136,Eastern
Croydon North ,3136,Eastern
Croydon South ,3136,Eastern
Heathmont ,3135,Eastern
Kilsyth South ,3137,Eastern
Ringwood ,3134,Eastern
Ringwood East ,3135,Eastern
Ringwood North ,3134,Eastern
Warranwood ,3134,Eastern
Blackburn ,3130,Eastern
Blackburn North ,3130,Eastern
Blackburn South ,3130,Eastern
Box Hill ,3128,Eastern
Box Hill North ,3129,Eastern
Box Hill South ,3128,Eastern
Burwood ,3125,Eastern
Burwood East ,3151,Eastern
Forest Hill ,3131,Eastern
Mitcham ,3132,Eastern
Mont Albert ,3127,Eastern
Nunawading ,3131,Eastern
Surrey Hills ,3127,Eastern
Vermont ,3133,Eastern
Vermont South ,3133,Eastern
Belgrave ,3160,Eastern
Belgrave Heights ,3160,Eastern
Belgrave South ,3160,Eastern
Chirnside Park ,3116,Eastern
Kilsyth ,3137,Eastern
Lilydale ,3140,Eastern
Montrose ,3765,Eastern
Mooroolbark ,3138,Eastern
Mount Evelyn ,3796,Eastern
Selby ,3159,Eastern
Tecoma ,3160,Eastern
Upper Ferntree Gully ,3156,Eastern
Upwey ,3158,Eastern
Badger Creek ,3777,Eastern
Beenak ,3139,Eastern
Big Pats Creek ,3799,Eastern
Cambarville ,3779,Eastern
Chum Creek ,3777,Eastern
Coldstream ,3770,Eastern
Dixons Creek ,3775,Eastern
Don Valley ,3139,Eastern
Fernshaw ,3778,Eastern
Ferny Creek ,3786,Eastern
Gilderoy ,3797,Eastern
Gladysdale ,3797,Eastern
Gruyere ,3770,Eastern
Healesville ,3777,Eastern
Hoddles Creek ,3139,Eastern
Kallista ,3791,Eastern
Kalorama ,3766,Eastern
Launching Place ,3139,Eastern
Lysterfield ,3156,Eastern
Macclesfield ,3782,Eastern
McMahons Creek ,3799,Eastern
Matlock ,3723,Eastern
Menzies Creek ,3159,Eastern
Millgrove ,3799,Eastern
Monbulk ,3793,Eastern
Mount Dandenong ,3767,Eastern
Mount Toolebewong ,3777,Eastern
Narre Warren East ,3804,Eastern
Olinda ,3788,Eastern
Powelltown ,3797,Eastern
Reefton ,3799,Eastern
Sassafras ,3787,Eastern
Seville ,3139,Eastern
Seville East ,3139,Eastern
Sherbrooke ,3789,Eastern
Silvan ,3795,Eastern
Steels Creek ,3775,Eastern
Tarrawarra ,3775,Eastern
